Year,Unemployment indicator,Vacancy indicator
1971,0.0231,0.0151
1971.0833,0.0208,0.0137
1971.1667,0.0175,0.012
1971.25,0.0151,0.0103
1971.3333,0.0136,0.0081
1971.4167,0.0116,0.0061
1971.5,0.0103,0.0042
1971.5833,0.0095,0.003
1971.6667,0.0081,0.0026
1971.75,0.0061,0.0014
1971.8333,0.0036,0.0002
1971.9167,0.0015,0
1972,0.0005,0
1972.0833,0,0
1972.1667,0,0
1972.25,0,0
1972.3333,0,0
1972.4167,0,0
1972.5,0,0
1972.5833,0,0
1972.6667,0,0
1972.75,0,0
1972.8333,0,0
1972.9167,0,0
1973,0,0
1973.0833,0,0
1973.1667,0,0
1973.25,0.0002,0.0004
1973.3333,0,0.0005
1973.4167,0,0.0006
1973.5,0,0.0002
1973.5833,0,0.0003
1973.6667,0,0.0006
1973.75,0,0.001
1973.8333,0.0001,0.0012
1973.9167,0.0004,0.0019
1974,0.0021,0.0028
1974.0833,0.0032,0.0039
1974.1667,0.0036,0.0043
1974.25,0.0035,0.0039
1974.3333,0.0034,0.0036
1974.4167,0.0044,0.0037
1974.5,0.0058,0.005
1974.5833,0.0069,0.0061
1974.6667,0.0086,0.0073
1974.75,0.0102,0.0088
1974.8333,0.0139,0.0111
1974.9167,0.0179,0.0132
1975,0.0232,0.0147
1975.0833,0.027,0.0155
1975.1667,0.0315,0.0166
1975.25,0.034,0.0171
1975.3333,0.0369,0.0174
1975.4167,0.0367,0.0167
1975.5,0.0347,0.0147
1975.5833,0.0318,0.0127
1975.6667,0.0288,0.011
1975.75,0.0263,0.009
1975.8333,0.022,0.0059
1975.9167,0.017,0.0028
1976,0.0086,0
1976.0833,0.0018,0
1976.1667,0,0
1976.25,0,0
1976.3333,0,0
1976.4167,0.0001,0
1976.5,0.0005,0
1976.5833,0.0018,0.0001
1976.6667,0.0019,0.0004
1976.75,0.0016,0.0003
1976.8333,0.0018,0.0001
1976.9167,0.0022,0
1977,0.0016,0
1977.0833,0.0008,0
1977.1667,0,0
1977.25,0,0
1977.3333,0,0
1977.4167,0,0
1977.5,0,0
1977.5833,0,0
1977.6667,0,0
1977.75,0,0
1977.8333,0,0
1977.9167,0,0
1978,0,0
1978.0833,0,0
1978.1667,0,0
1978.25,0,0
1978.3333,0,0
1978.4167,0,0
1978.5,0.0003,0.0002
1978.5833,0,0.0001
1978.6667,0.0002,0
1978.75,0,0
1978.8333,0,0
1978.9167,0.0001,0
1979,0.0005,0.0003
1979.0833,0.0006,0.0008
1979.1667,0.0001,0.0013
1979.25,0,0.001
1979.3333,0,0.0004
1979.4167,0,0.0002
1979.5,0,0.0009
1979.5833,0.0014,0.0012
1979.6667,0.0019,0.0008
1979.75,0.0027,0
1979.8333,0.0024,0.0005
1979.9167,0.0026,0.0015
1980,0.0037,0.0032
1980.0833,0.005,0.0042
1980.1667,0.0062,0.0052
1980.25,0.0083,0.0076
1980.3333,0.0123,0.0107
1980.4167,0.0165,0.0134
1980.5,0.0195,0.0143
1980.5833,0.019,0.014
1980.6667,0.0181,0.0134
1980.75,0.0168,0.0128
1980.8333,0.0159,0.0112
1980.9167,0.0146,0.0101
1981,0.0133,0.0087
1981.0833,0.012,0.0084
1981.1667,0.0113,0.0076
1981.25,0.0084,0.0052
1981.3333,0.0046,0.0024
1981.4167,0.0008,0.0015
1981.5,0.0006,0.0017
1981.5833,0.0003,0.0017
1981.6667,0.0007,0.0026
1981.75,0.003,0.0041
1981.8333,0.0059,0.0055
1981.9167,0.009,0.0068
1982,0.0112,0.0071
1982.0833,0.0132,0.0074
1982.1667,0.015,0.008
1982.25,0.0174,0.0092
1982.3333,0.0188,0.0098
1982.4167,0.0205,0.0107
1982.5,0.0222,0.0116
1982.5833,0.0238,0.0127
1982.6667,0.0252,0.013
1982.75,0.0249,0.0122
1982.8333,0.025,0.0113
1982.9167,0.0243,0.0097
1983,0.0221,0.0086
1983.0833,0.0191,0.0072
1983.1667,0.0155,0.006
1983.25,0.0123,0.0044
1983.3333,0.0094,0.0023
1983.4167,0.0068,0.0005
1983.5,0.0027,0
1983.5833,0,0
1983.6667,0,0
1983.75,0,0
1983.8333,0,0
1983.9167,0,0
1984,0,0
1984.0833,0,0
1984.1667,0,0
1984.25,0,0
1984.3333,0,0
1984.4167,0,0
1984.5,0,0
1984.5833,0.0002,0
1984.6667,0.0006,0
1984.75,0.0001,0.0001
1984.8333,0,0
1984.9167,0,0
1985,0,0
1985.0833,0.0002,0
1985.1667,0,0
1985.25,0,0
1985.3333,0,0
1985.4167,0.0004,0.0001
1985.5,0.0008,0
1985.5833,0.0005,0.0001
