Year,Minimum indicator
1954.9167,0.0063
1955,0.0027
1955.0833,0.0002
1955.1667,0
1955.25,0
1955.3333,0
1955.4167,0
1955.5,0
1955.5833,0
1955.6667,0
1955.75,0
1955.8333,0
1955.9167,0
1956,0
1956.0833,0
1956.1667,0
1956.25,0
1956.3333,0.0012
1956.4167,0.0014
1956.5,0.0019
1956.5833,0.0023
1956.6667,0.001
1956.75,0
1956.8333,0.0008
1956.9167,0.0016
1957,0.0025
1957.0833,0.0015
1957.1667,0
1957.25,0
1957.3333,0.0005
1957.4167,0.0022
1957.5,0.003
1957.5833,0.0032
1957.6667,0.0036
1957.75,0.0048
1957.8333,0.0082
1957.9167,0.0108
1958,0.0118
1958.0833,0.0123
1958.1667,0.013
1958.25,0.0126
1958.3333,0.0125
1958.4167,0.0116
1958.5,0.0109
1958.5833,0.0093
1958.6667,0.0083
1958.75,0.0061
1958.8333,0.0038
1958.9167,0.0014
1959,0
1959.0833,0
1959.1667,0
1959.25,0
1959.3333,0
1959.4167,0
1959.5,0
1959.5833,0.0001
1959.6667,0.0008
1959.75,0.0017
1959.8333,0.0018
1959.9167,0.0022
1960,0
1960.0833,0
1960.1667,0
1960.25,0.0007
1960.3333,0.0016
1960.4167,0.0015
1960.5,0.0025
1960.5833,0.0037
1960.6667,0.0044
1960.75,0.0053
1960.8333,0.0062
1960.9167,0.007
1961,0.0076
1961.0833,0.0081
1961.1667,0.0081
1961.25,0.0073
1961.3333,0.0059
1961.4167,0.0047
1961.5,0.0034
1961.5833,0.0022
1961.6667,0.0006
1961.75,0
1961.8333,0
1961.9167,0
1962,0
1962.0833,0
1962.1667,0
1962.25,0
1962.3333,0
1962.4167,0
1962.5,0
1962.5833,0.0006
1962.6667,0.001
1962.75,0.0007
1962.8333,0.0008
1962.9167,0.0007
1963,0.0019
1963.0833,0.0017
1963.1667,0.0015
1963.25,0.0016
1963.3333,0.0018
1963.4167,0.0021
1963.5,0.002
1963.5833,0.0002
1963.6667,0
1963.75,0
1963.8333,0.0001
1963.9167,0
1964,0
1964.0833,0
1964.1667,0
1964.25,0
1964.3333,0
1964.4167,0
1964.5,0
1964.5833,0
1964.6667,0
1964.75,0.0001
1964.8333,0
1964.9167,0
1965,0
1965.0833,0
1965.1667,0
1965.25,0
1965.3333,0
1965.4167,0
1965.5,0
1965.5833,0
1965.6667,0
1965.75,0
1965.8333,0
1965.9167,0
1966,0
1966.0833,0
1966.1667,0
1966.25,0
1966.3333,0
1966.4167,0.0003
1966.5,0.0002
1966.5833,0.0002
1966.6667,0
1966.75,0
1966.8333,0
1966.9167,0.0004
1967,0.0011
1967.0833,0.0017
1967.1667,0.0017
1967.25,0.0013
1967.3333,0.0013
1967.4167,0.0016
1967.5,0.0017
1967.5833,0.0017
1967.6667,0.0014
1967.75,0.0021
1967.8333,0.0024
1967.9167,0.0019
1968,0.0006
1968.0833,0.0001
1968.1667,0
1968.25,0
1968.3333,0
1968.4167,0
1968.5,0
1968.5833,0
1968.6667,0
1968.75,0
1968.8333,0
1968.9167,0
1969,0
1969.0833,0
1969.1667,0
1969.25,0
1969.3333,0
1969.4167,0.0005
1969.5,0.0009
1969.5833,0.0013
1969.6667,0.0022
1969.75,0.0019
1969.8333,0.0017
1969.9167,0.0021
1970,0.0026
1970.0833,0.0049
1970.1667,0.0078
1970.25,0.0095
1970.3333,0.0116
1970.4167,0.0125
1970.5,0.0132
1970.5833,0.0138
1970.6667,0.0145
1970.75,0.0157
1970.8333,0.0167
1970.9167,0.0164
1971,0.0151
1971.0833,0.0137
1971.1667,0.012
1971.25,0.0103
1971.3333,0.0081
1971.4167,0.0061
1971.5,0.0042
1971.5833,0.003
1971.6667,0.0026
1971.75,0.0014
1971.8333,0.0002
1971.9167,0
1972,0
1972.0833,0
1972.1667,0
1972.25,0
1972.3333,0
1972.4167,0
1972.5,0
1972.5833,0
1972.6667,0
1972.75,0
1972.8333,0
1972.9167,0
1973,0
1973.0833,0
1973.1667,0
1973.25,0.0002
1973.3333,0
1973.4167,0
1973.5,0
1973.5833,0
1973.6667,0
1973.75,0
1973.8333,0.0001
1973.9167,0.0004
1974,0.0021
1974.0833,0.0032
1974.1667,0.0036
1974.25,0.0035
1974.3333,0.0034
1974.4167,0.0037
1974.5,0.005
1974.5833,0.0061
1974.6667,0.0073
1974.75,0.0088
1974.8333,0.0111
1974.9167,0.0132
1975,0.0147
1975.0833,0.0155
1975.1667,0.0166
1975.25,0.0171
1975.3333,0.0174
1975.4167,0.0167
1975.5,0.0147
1975.5833,0.0127
1975.6667,0.011
1975.75,0.009
1975.8333,0.0059
1975.9167,0.0028
1976,0
1976.0833,0
1976.1667,0
1976.25,0
1976.3333,0
1976.4167,0
1976.5,0
1976.5833,0.0001
1976.6667,0.0004
1976.75,0.0003
1976.8333,0.0001
1976.9167,0
1977,0
1977.0833,0
1977.1667,0
1977.25,0
1977.3333,0
1977.4167,0
1977.5,0
1977.5833,0
1977.6667,0
1977.75,0
1977.8333,0
1977.9167,0
1978,0
1978.0833,0
1978.1667,0
1978.25,0
1978.3333,0
1978.4167,0
1978.5,0.0002
1978.5833,0
1978.6667,0
1978.75,0
1978.8333,0
1978.9167,0
1979,0.0003
1979.0833,0.0006
1979.1667,0.0001
1979.25,0
1979.3333,0
1979.4167,0
1979.5,0
1979.5833,0.0012
1979.6667,0.0008
