Year,Unemployment indicator
1958.1667,0.0243
1958.25,0.0298
1958.3333,0.0326
1958.4167,0.033
1958.5,0.0324
1958.5833,0.0322
1958.6667,0.031
1958.75,0.0273
1958.8333,0.0199
1958.9167,0.0143
1959,0.0076
1959.0833,0.0023
1959.1667,0
1959.25,0
1959.3333,0
1959.4167,0
1959.5,0
1959.5833,0.0005
1959.6667,0.0021
1959.75,0.0039
1959.8333,0.0059
1959.9167,0.0051
1960,0.0037
1960.0833,0.0003
1960.1667,0.0008
1960.25,0.0007
1960.3333,0.0017
1960.4167,0.0015
1960.5,0.0025
1960.5833,0.0039
1960.6667,0.0044
1960.75,0.0064
1960.8333,0.008
1960.9167,0.0114
1961,0.0132
1961.0833,0.0156
1961.1667,0.0163
1961.25,0.0174
1961.3333,0.0174
1961.4167,0.0175
1961.5,0.0166
1961.5833,0.0133
1961.6667,0.012
1961.75,0.0084
1961.8333,0.0049
1961.9167,0
1962,0
1962.0833,0
1962.1667,0
1962.25,0
1962.3333,0
1962.4167,0
1962.5,0
1962.5833,0.0006
1962.6667,0.001
1962.75,0.0007
1962.8333,0.0008
1962.9167,0.0007
1963,0.0019
1963.0833,0.0028
1963.1667,0.0034
1963.25,0.0031
1963.3333,0.0029
1963.4167,0.0024
1963.5,0.0023
1963.5833,0.0002
1963.6667,0
1963.75,0
1963.8333,0.0011
1963.9167,0.0012
1964,0.0013
1964.0833,0.0003
1964.1667,0
1964.25,0
1964.3333,0
1964.4167,0
1964.5,0
1964.5833,0
1964.6667,0
1964.75,0.0005
1964.8333,0
1964.9167,0
1965,0
1965.0833,0.0007
1965.1667,0
1965.25,0
1965.3333,0
1965.4167,0
1965.5,0
1965.5833,0
1965.6667,0
1965.75,0
1965.8333,0
1965.9167,0
1966,0
1966.0833,0
1966.1667,0
1966.25,0
1966.3333,0.0005
1966.4167,0.0003
1966.5,0.0005
1966.5833,0.0002
1966.6667,0
1966.75,0
1966.8333,0
1966.9167,0.0004
1967,0.0011
1967.0833,0.0017
1967.1667,0.0017
1967.25,0.0013
1967.3333,0.0013
1967.4167,0.0016
1967.5,0.0017
1967.5833,0.0017
1967.6667,0.0014
1967.75,0.0021
1967.8333,0.0026
1967.9167,0.0023
1968,0.0006
1968.0833,0.0001
1968.1667,0
1968.25,0
1968.3333,0
1968.4167,0.0001
1968.5,0.0008
1968.5833,0.0009
1968.6667,0
1968.75,0
1968.8333,0
1968.9167,0
1969,0
1969.0833,0
1969.1667,0
1969.25,0.0001
1969.3333,0.0002
1969.4167,0.0005
1969.5,0.0009
1969.5833,0.0013
1969.6667,0.0022
1969.75,0.0028
1969.8333,0.0028
1969.9167,0.0021
1970,0.0026
1970.0833,0.0049
1970.1667,0.0078
1970.25,0.01
1970.3333,0.0118
1970.4167,0.0132
1970.5,0.0143
1970.5833,0.0152
1970.6667,0.0159
1970.75,0.0175
1970.8333,0.0199
1970.9167,0.0222
1971,0.0231
1971.0833,0.0208
1971.1667,0.0175
1971.25,0.0151
1971.3333,0.0136
1971.4167,0.0116
1971.5,0.0103
1971.5833,0.0095
1971.6667,0.0081
1971.75,0.0061
1971.8333,0.0036
1971.9167,0.0015
1972,0.0005
1972.0833,0
1972.1667,0
1972.25,0
1972.3333,0
1972.4167,0
1972.5,0
1972.5833,0
1972.6667,0
1972.75,0
1972.8333,0
1972.9167,0
1973,0
1973.0833,0
1973.1667,0
1973.25,0.0002
1973.3333,0
1973.4167,0
1973.5,0
1973.5833,0
1973.6667,0
1973.75,0
1973.8333,0.0001
1973.9167,0.0004
1974,0.0021
1974.0833,0.0032
1974.1667,0.0036
1974.25,0.0035
1974.3333,0.0034
1974.4167,0.0044
1974.5,0.0058
1974.5833,0.0069
1974.6667,0.0086
1974.75,0.0102
1974.8333,0.0139
1974.9167,0.0179
1975,0.0232
1975.0833,0.027
1975.1667,0.0315
1975.25,0.034
1975.3333,0.0369
1975.4167,0.0367
1975.5,0.0347
1975.5833,0.0318
1975.6667,0.0288
1975.75,0.0263
1975.8333,0.022
1975.9167,0.017
1976,0.0086
1976.0833,0.0018
1976.1667,0
1976.25,0
1976.3333,0
1976.4167,0.0001
1976.5,0.0005
1976.5833,0.0018
1976.6667,0.0019
1976.75,0.0016
1976.8333,0.0018
1976.9167,0.0022
1977,0.0016
1977.0833,0.0008
1977.1667,0
1977.25,0
1977.3333,0
1977.4167,0
1977.5,0
1977.5833,0
